,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
x,162.5,122.5,122.5,102.5,162.5,182.5,182.5,192.5,242.5,202.5,242.5,222.5,162.5,122.5,262.5,142.5
y,110.0,190.0,296.6666564941406,350.0,216.6666717529297,270.0,323.3333435058594,170.0,136.6666717529297,136.6666717529297,110.0,136.6666717529297,110.0,83.33333587646484,136.6666717529297,110.0
z,-3.423539876937866,-53.6002311706543,-357.1956787109375,-136.4510498046875,36.91149139404297,20.324867248535156,214.9004364013672,65.1651840209961,-9.304367065429688,-155.89381408691406,387.4915466308594,285.1828918457031,201.69937133789062,65.19585418701172,16.230581283569336,45.271705627441406
c,0.06961670517921448,0.053390562534332275,0.007739812135696411,0.06838691234588623,0.09932401776313782,0.3467369079589844,0.2336874008178711,0.319031685590744,0.6932048797607422,0.5916098952293396,0.6469827890396118,0.6055123805999756,0.6316587924957275,0.690561056137085,0.690561056137085,0.690561056137085
x,162.5,122.5,122.5,102.5,162.5,182.5,182.5,190.0,237.5,202.5,232.5,212.5,162.5,122.5,262.5,142.5
y,110.0,190.0,296.6666564941406,350.0,216.6666717529297,270.0,323.3333435058594,170.0,136.6666717529297,136.6666717529297,110.0,136.6666717529297,110.0,83.33333587646484,136.6666717529297,110.0
z,-3.300021171569824,-56.31339645385742,-358.68133544921875,-137.13284301757812,39.545616149902344,17.467323303222656,210.0994415283203,63.6938362121582,-8.736076354980469,-155.79307556152344,381.0200500488281,285.92095947265625,204.37625122070312,68.16539764404297,16.035078048706055,42.37061309814453
c,0.07937370240688324,0.05974617600440979,0.009127601981163025,0.07271480560302734,0.104696124792099,0.3473410904407501,0.23652386665344238,0.3253077268600464,0.6939398050308228,0.5888011455535889,0.6488428711891174,0.6080631017684937,0.6332607269287109,0.693656325340271,0.693656325340271,0.693656325340271
x,162.5,122.5,122.5,102.5,162.5,182.5,182.5,190.8333282470703,239.1666717529297,202.5,229.1666717529297,215.8333282470703,162.5,122.5,262.5,142.5
y,110.0,190.0,296.6666564941406,350.0,216.6666717529297,270.0,323.3333435058594,170.0,136.6666717529297,136.6666717529297,110.0,136.6666717529297,110.0,83.33333587646484,136.6666717529297,110.0
z,-3.305192232131958,-56.02967834472656,-358.80059814453125,-138.07406616210938,39.302268981933594,17.21350860595703,210.35304260253906,64.65731048583984,-8.595832824707031,-156.1888885498047,382.34332275390625,286.3453674316406,204.93157958984375,67.73259735107422,16.32417106628418,43.21100616455078
c,0.08280941098928452,0.061146825551986694,0.009187956340610981,0.0746825709939003,0.10626625269651413,0.34653621912002563,0.23561246693134308,0.3237261474132538,0.6948203444480896,0.5886589288711548,0.6495301723480225,0.609095573425293,0.6341391801834106,0.6947380304336548,0.6947380304336548,0.6947380304336548
x,162.5,122.5,122.5,102.5,162.5,182.5,182.5,190.0,237.5,202.5,227.5,212.5,162.5,122.5,262.5,142.5
y,110.0,190.0,296.6666564941406,350.0,216.6666717529297,270.0,323.3333435058594,170.0,136.6666717529297,136.6666717529297,110.0,136.6666717529297,110.0,83.33333587646484,136.6666717529297,110.0
z,-3.272979736328125,-56.780086517333984,-359.1448669433594,-138.01754760742188,40.02232360839844,16.557472229003906,209.08348083496094,64.05372619628906,-8.484893798828125,-156.0643768310547,380.3929748535156,286.4288635253906,205.46713256835938,68.58867645263672,16.206151962280273,42.273658752441406
c,0.08066857606172562,0.057992592453956604,0.00838964432477951,0.071275994181633,0.1032215803861618,0.3487635850906372,0.2359216809272766,0.3261933922767639,0.6946502327919006,0.589080810546875,0.6505391597747803,0.6085968017578125,0.6343773603439331,0.6957154273986816,0.6957154273986816,0.6957154273986816
x,162.5,122.5,122.5,102.5,162.5,182.5,182.5,189.5,236.5,202.5,226.5,210.5,162.5,122.5,262.5,142.5
y,110.0,190.0,296.6666564941406,350.0,211.3333282470703,270.0,323.3333435058594,168.6666717529297,136.6666717529297,136.6666717529297,110.0,136.6666717529297,110.0,83.33333587646484,136.6666717529297,110.0
z,-3.1078925132751465,-58.16660690307617,-351.6260986328125,-127.614501953125,41.5167350769043,13.55405330657959,205.47340393066406,65.53349304199219,-6.2218475341796875,-158.15187072753906,390.9378662109375,290.6535339355469,210.84896850585938,71.23589324951172,15.065229415893555,32.84040069580078
c,0.07847268134355545,0.054988421499729156,0.007668334059417248,0.0676611065864563,0.09840862452983856,0.3497067093849182,0.23479248583316803,0.32648929953575134,0.6943745017051697,0.5892475843429565,0.6495184898376465,0.6075122356414795,0.6342853903770447,0.6972340941429138,0.6972340941429138,0.6972340941429138
x,162.5,122.5,122.5,102.5,162.5,182.5,182.5,189.1666717529297,235.8333282470703,202.5,225.8333282470703,209.1666717529297,162.5,122.5,262.5,142.5
y,110.0,190.0,296.6666564941406,350.0,212.22222900390625,270.0,323.3333435058594,168.88888549804688,136.6666717529297,136.6666717529297,110.0,136.6666717529297,110.0,83.33333587646484,136.6666717529297,110.0
z,-3.1198878288269043,-58.182350158691406,-353.0087890625,-129.32498168945312,41.51764678955078,13.768439292907715,205.5886993408203,65.0373764038086,-6.5239715576171875,-157.8058624267578,388.2909851074219,289.9869384765625,210.14688110351562,71.34484100341797,15.258512496948242,33.802589416503906
c,0.07795662432909012,0.05395132675766945,0.0073346844874322414,0.0660439133644104,0.09697768092155457,0.3502514362335205,0.23414035141468048,0.326521635055542,0.6943942308425903,0.5893964767456055,0.6494739651679993,0.6071999669075012,0.6343176960945129,0.6977357864379883,0.6977357864379883,0.6977357864379883
x,162.5,122.5,122.5,102.5,162.5,182.5,182.5,188.92857360839844,235.35714721679688,202.5,225.35714721679688,208.2142791748047,162.5,122.5,262.5,142.5
y,110.0,190.0,296.6666564941406,350.0,212.85714721679688,270.0,323.3333435058594,169.04762268066406,136.6666717529297,136.6666717529297,110.0,136.6666717529297,110.0,83.33333587646484,136.6666717529297,110.0
z,-3.1269967555999756,-58.292396545410156,-354.0788269042969,-130.58279418945312,41.609214782714844,13.90860652923584,205.62391662597656,64.64085388183594,-6.7512054443359375,-157.4895477294922,386.3318176269531,289.5047607421875,209.67919921875,71.31224822998047,15.35456657409668,34.636940002441406
c,0.07704757153987885,0.0526832714676857,0.00690736947581172,0.06453574448823929,0.09504660964012146,0.35041001439094543,0.23364748060703278,0.32672834396362305,0.6940686106681824,0.589561402797699,0.6495956778526306,0.6068337559700012,0.633539080619812,0.6976305842399597,0.6976305842399597,0.6976305842399597
x,162.5,122.5,122.5,102.5,162.5,182.5,182.5,188.75,235.0,202.5,225.0,207.5,162.5,122.5,262.5,142.5
y,110.0,190.0,296.6666564941406,350.0,210.0,270.0,323.3333435058594,168.3333282470703,136.6666717529297,136.6666717529297,110.0,136.6666717529297,110.0,83.33333587646484,136.6666717529297,110.0
z,-3.0538525581359863,-59.34347152709961,-347.1904296875,-121.83599853515625,42.574378967285156,11.931281089782715,202.1052703857422,65.4336929321289,-5.62567138671875,-158.66697692871094,391.8445129394531,292.1400146484375,213.23773193359375,72.6867904663086,14.332571029663086,29.2056941986084
c,0.07539843022823334,0.05102378502488136,0.0063001848757267,0.0626276433467865,0.09239307045936584,0.35066816210746765,0.23352888226509094,0.32731756567955017,0.6938091516494751,0.5895705223083496,0.648921012878418,0.6064820289611816,0.6327498555183411,0.6980323195457458,0.6980323195457458,0.6980323195457458
x,162.5,122.5,122.5,102.5,162.5,182.5,182.5,188.125,233.75,202.5,222.5,205.0,162.5,122.5,262.5,142.5
y,110.0,190.0,296.6666564941406,350.0,210.0,270.0,323.3333435058594,168.3333282470703,136.6666717529297,136.6666717529297,110.0,136.6666717529297,110.0,83.33333587646484,136.6666717529297,110.0
z,-3.02980637550354,-60.05121612548828,-346.01507568359375,-120.33639526367188,43.2109375,11.039740562438965,200.20985412597656,65.10108947753906,-5.497642517089844,-158.7486572265625,390.1609191894531,292.52435302734375,214.17239379882812,73.63729095458984,14.146306991577148,28.0470027923584
c,0.07417547702789307,0.049091991037130356,0.005474593490362167,0.06087853014469147,0.09008923918008804,0.3516791760921478,0.23383860290050507,0.329383909702301,0.6939464211463928,0.5893486738204956,0.6493333578109741,0.6063083410263062,0.6320115327835083,0.6985698938369751,0.6985698938369751,0.6985698938369751
x,162.5,122.5,122.5,102.5,162.5,182.5,182.5,188.125,233.75,202.5,222.5,205.0,162.5,122.5,262.5,142.5
y,110.0,190.0,296.6666564941406,350.0,210.0,270.0,323.3333435058594,168.3333282470703,136.6666717529297,136.6666717529297,110.0,136.6666717529297,110.0,83.33333587646484,136.6666717529297,110.0
z,-3.02980637550354,-60.05121612548828,-346.01507568359375,-120.33639526367188,43.2109375,11.039740562438965,200.20985412597656,65.10108947753906,-5.497642517089844,-158.7486572265625,390.1609191894531,292.52435302734375,214.17239379882812,73.63729095458984,14.146306991577148,28.0470027923584
c,0.0694752037525177,0.04489395394921303,0.004754479508846998,0.05786288529634476,0.0858255922794342,0.35221177339553833,0.23349159955978394,0.33033546805381775,0.693864643573761,0.5897805690765381,0.6493416428565979,0.6052662134170532,0.6308275461196899,0.6983378529548645,0.6983378529548645,0.6983378529548645
x,162.5,122.5,122.5,102.5,162.5,182.5,182.5,187.5,232.5,202.5,222.5,202.5,162.5,122.5,262.5,142.5
y,110.0,190.0,296.6666564941406,350.0,210.0,270.0,323.3333435058594,168.3333282470703,136.6666717529297,136.6666717529297,110.0,136.6666717529297,110.0,83.33333587646484,136.6666717529297,110.0
z,-3.0191140174865723,-60.52873611450195,-344.9442138671875,-118.8016357421875,43.62037658691406,10.526862144470215,198.7772979736328,64.56514739990234,-5.561836242675781,-158.7067413330078,388.6565246582031,292.64813232421875,214.1642303466797,74.48931121826172,13.831602096557617,26.9914608001709
c,0.06505836546421051,0.04123545438051224,0.003995448350906372,0.05473855882883072,0.0819297581911087,0.3532619774341583,0.23374220728874207,0.3323323428630829,0.6936513185501099,0.5898426175117493,0.6492781043052673,0.6042867302894592,0.6295802593231201,0.6981001496315002,0.6981001496315002,0.6981001496315002
x,162.5,122.5,122.5,102.5,162.5,182.5,182.5,187.5,232.5,202.5,222.5,202.5,162.5,122.5,262.5,142.5
y,110.0,190.0,296.6666564941406,350.0,210.0,270.0,323.3333435058594,168.3333282470703,136.6666717529297,136.6666717529297,110.0,136.6666717529297,110.0,83.33333587646484,136.6666717529297,110.0
