,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
x,192.5,122.5,142.5,122.5,162.5,202.5,182.5,172.5,202.5,202.5,242.5,222.5,202.5,222.5,182.5,182.5
y,136.6666717529297,163.3333282470703,243.3333282470703,323.3333435058594,190.0,243.3333282470703,296.6666564941406,150.0,123.33333587646484,110.0,83.33333587646484,136.6666717529297,190.0,243.3333282470703,110.0,216.6666717529297
z,-4.207443714141846,-18.959590911865234,-232.4274444580078,-74.7664794921875,0.0644000917673111,22.756736755371094,122.88600158691406,45.729679107666016,-49.129886627197266,-180.78932189941406,338.9322814941406,213.0330352783203,184.5472412109375,133.5125274658203,-28.966344833374023,-46.92394256591797
c,0.6768978834152222,0.50333172082901,0.2754397690296173,0.050601959228515625,0.06483250856399536,0.42860543727874756,0.19064241647720337,0.12700195610523224,0.6776609420776367,0.710742175579071,0.8039169311523438,0.629422664642334,0.5822259187698364,0.576504111289978,0.576504111289978,0.576504111289978
x,192.5,122.5,142.5,122.5,162.5,202.5,182.5,172.5,202.5,202.5,242.5,222.5,202.5,222.5,182.5,182.5
y,136.6666717529297,163.3333282470703,243.3333282470703,323.3333435058594,190.0,243.3333282470703,296.6666564941406,150.0,123.33333587646484,110.0,83.33333587646484,136.6666717529297,190.0,243.3333282470703,110.0,216.6666717529297
z,-4.207443714141846,-18.959590911865234,-232.4274444580078,-74.7664794921875,0.0644000917673111,22.756736755371094,122.88600158691406,45.729679107666016,-49.129886627197266,-180.78932189941406,338.9322814941406,213.0330352783203,184.5472412109375,133.5125274658203,-28.966344833374023,-46.92394256591797
c,0.6802213191986084,0.4972774386405945,0.2660437524318695,0.04776620864868164,0.06319524347782135,0.4190775156021118,0.18646839261054993,0.11631771922111511,0.6769133806228638,0.7088693976402283,0.8065414428710938,0.6312488317489624,0.5885875225067139,0.5780389904975891,0.5780389904975891,0.5780389904975891
x,195.8333282470703,122.5,142.5,122.5,162.5,202.5,182.5,172.5,202.5,202.5,242.5,222.5,202.5,222.5,182.5,182.5
y,136.6666717529297,163.3333282470703,243.3333282470703,323.3333435058594,190.0,243.3333282470703,296.6666564941406,150.0,123.33333587646484,110.0,83.33333587646484,136.6666717529297,190.0,243.3333282470703,110.0,216.6666717529297
z,-4.160796165466309,-19.282440185546875,-233.40792846679688,-76.10787963867188,0.4973205626010895,23.27899932861328,123.85075378417969,45.958648681640625,-49.31428909301758,-181.0557403564453,339.4830017089844,212.89320373535156,184.5262908935547,133.4994354248047,-29.00367546081543,-45.26653289794922
c,0.6808890104293823,0.49911564588546753,0.2672865390777588,0.04826396703720093,0.0634194016456604,0.41879740357398987,0.1856278032064438,0.11489780992269516,0.675460934638977,0.7082273364067078,0.807180643081665,0.6317499876022339,0.5900897979736328,0.5787401795387268,0.5787401795387268,0.5787401795387268
x,195.0,122.5,142.5,122.5,162.5,202.5,182.5,172.5,202.5,202.5,242.5,222.5,202.5,222.5,182.5,182.5
y,136.6666717529297,163.3333282470703,243.3333282470703,323.3333435058594,190.0,243.3333282470703,296.6666564941406,150.0,123.33333587646484,110.0,83.33333587646484,136.6666717529297,190.0,243.3333282470703,110.0,216.6666717529297
z,-4.172460079193115,-19.20166778564453,-233.1627197265625,-75.77259826660156,0.3889869749546051,23.148170471191406,123.60957336425781,45.90141677856445,-49.268375396728516,-180.9890899658203,339.34552001953125,212.9279022216797,184.53152465820312,133.50242614746094,-28.994417190551758,-45.681129455566406
c,0.6805791854858398,0.5011469721794128,0.2696987986564636,0.04930584132671356,0.06422208249568939,0.42172330617904663,0.18528756499290466,0.11647665500640869,0.6755920648574829,0.7081643342971802,0.8069910407066345,0.6315934658050537,0.5896527767181396,0.5792702436447144,0.5792702436447144,0.5792702436447144
x,194.5,122.5,142.5,122.5,162.5,202.5,182.5,172.5,202.5,202.5,242.5,222.5,202.5,222.5,182.5,182.5
y,136.6666717529297,163.3333282470703,243.3333282470703,323.3333435058594,190.0,243.3333282470703,296.6666564941406,150.0,123.33333587646484,110.0,83.33333587646484,136.6666717529297,190.0,243.3333282470703,110.0,216.6666717529297
z,-4.17946195602417,-19.153305053710938,-233.01548767089844,-75.57069396972656,0.3241104185581207,23.070228576660156,123.46438598632812,45.86708068847656,-49.24055862426758,-180.94924926757812,339.2629699707031,212.9490509033203,184.53497314453125,133.5049591064453,-28.988759994506836,-45.92963409423828
c,0.6801573634147644,0.5014482140541077,0.27078449726104736,0.05022710561752319,0.06462971866130829,0.4240380823612213,0.18491950631141663,0.1178307831287384,0.6749181747436523,0.7086507081985474,0.8064853549003601,0.6319796442985535,0.5903983116149902,0.5799335241317749,0.5799335241317749,0.5799335241317749
x,194.1666717529297,122.5,142.5,122.5,162.5,202.5,182.5,172.5,202.5,202.5,242.5,222.5,202.5,222.5,182.5,182.5
y,136.6666717529297,163.3333282470703,243.3333282470703,323.3333435058594,190.0,243.3333282470703,296.6666564941406,150.0,123.33333587646484,110.0,83.33333587646484,136.6666717529297,190.0,243.3333282470703,110.0,216.6666717529297
z,-4.18412446975708,-19.121017456054688,-232.9172821044922,-75.43650817871094,0.28086891770362854,23.017799377441406,123.36753845214844,45.84415054321289,-49.22210693359375,-180.92259216308594,339.207763671875,212.96299743652344,184.53665161132812,133.5055389404297,-28.98509407043457,-46.09577178955078
c,0.6800324320793152,0.5015951991081238,0.2708244025707245,0.05078790709376335,0.0652824267745018,0.4253401756286621,0.18398790061473846,0.11825475841760635,0.6747336387634277,0.7091710567474365,0.8061508536338806,0.6318069696426392,0.5894622206687927,0.5794441103935242,0.5794441103935242,0.5794441103935242
x,193.92857360839844,122.5,142.5,122.5,162.5,202.5,182.5,172.5,202.5,202.5,242.5,222.5,202.5,222.5,182.5,182.5
y,136.6666717529297,163.3333282470703,243.3333282470703,323.3333435058594,190.0,243.3333282470703,296.6666564941406,150.0,123.33333587646484,110.0,83.33333587646484,136.6666717529297,190.0,243.3333282470703,110.0,216.6666717529297
z,-4.187453746795654,-19.097999572753906,-232.8473663330078,-75.34089660644531,0.24999655783176422,22.98023223876953,123.29946899414062,45.82777786254883,-49.20909881591797,-180.9036407470703,339.1682434082031,212.97280883789062,184.53805541992188,133.5063934326172,-28.98252296447754,-46.21363067626953
c,0.6799628138542175,0.5016331672668457,0.27126675844192505,0.05100012570619583,0.06557690352201462,0.42630428075790405,0.18356364965438843,0.11795829981565475,0.6748179793357849,0.7095097303390503,0.8061771392822266,0.6318343877792358,0.5892514586448669,0.5795269012451172,0.5795269012451172,0.5795269012451172
x,193.75,122.5,142.5,122.5,162.5,202.5,182.5,172.5,202.5,202.5,242.5,222.5,202.5,222.5,182.5,177.5
y,136.6666717529297,163.3333282470703,243.3333282470703,323.3333435058594,190.0,243.3333282470703,296.6666564941406,150.0,123.33333587646484,110.0,83.33333587646484,136.6666717529297,190.0,243.3333282470703,110.0,206.6666717529297
z,-4.157299995422363,-19.957366943359375,-231.8518829345703,-75.87791442871094,1.4141982793807983,25.62047576904297,130.0299835205078,47.16032028198242,-47.65166473388672,-180.52430725097656,341.1768493652344,215.18795776367188,186.11375427246094,131.81394958496094,-27.884965896606445,-46.08490753173828
c,0.6796401739120483,0.5015681982040405,0.2721984386444092,0.051148414611816406,0.06522399187088013,0.42673826217651367,0.18416965007781982,0.1172337532043457,0.6746829748153687,0.7093024849891663,0.8062771558761597,0.6314511299133301,0.5913479924201965,0.580161988735199,0.580161988735199,0.580161988735199
x,193.75,122.5,142.5,122.5,162.5,202.5,182.5,172.5,202.5,202.5,242.5,222.5,202.5,222.5,182.5,177.5
y,136.6666717529297,163.3333282470703,243.3333282470703,323.3333435058594,190.0,243.3333282470703,296.6666564941406,150.0,123.33333587646484,110.0,83.33333587646484,136.6666717529297,190.0,243.3333282470703,110.0,206.6666717529297
z,-4.157299995422363,-19.957366943359375,-231.8518829345703,-75.87791442871094,1.4141982793807983,25.62047576904297,130.0299835205078,47.16032028198242,-47.65166473388672,-180.52430725097656,341.1768493652344,215.18795776367188,186.11375427246094,131.81394958496094,-27.884965896606445,-46.08490753173828
c,0.679934024810791,0.5012494325637817,0.271790474653244,0.05095047503709793,0.06525464355945587,0.42659151554107666,0.18322312831878662,0.11474724113941193,0.6746207475662231,0.7094546556472778,0.8066591024398804,0.6317472457885742,0.5929118990898132,0.5807331800460815,0.5807331800460815,0.5807331800460815
x,193.75,122.5,142.5,122.5,162.5,202.5,182.5,172.5,202.5,202.5,242.5,222.5,202.5,222.5,182.5,177.5
y,136.6666717529297,163.3333282470703,243.3333282470703,323.3333435058594,190.0,243.3333282470703,296.6666564941406,150.0,123.33333587646484,110.0,83.33333587646484,136.6666717529297,190.0,243.3333282470703,110.0,206.6666717529297
z,-4.157299995422363,-19.957366943359375,-231.8518829345703,-75.87791442871094,1.4141982793807983,25.62047576904297,130.0299835205078,47.16032028198242,-47.65166473388672,-180.52430725097656,341.1768493652344,215.18795776367188,186.11375427246094,131.81394958496094,-27.884965896606445,-46.08490753173828
c,0.6793655157089233,0.5024290084838867,0.2737552523612976,0.051508598029613495,0.06568427383899689,0.42876332998275757,0.18329063057899475,0.11481492221355438,0.674647331237793,0.7100016474723816,0.806297779083252,0.6315983533859253,0.5928057432174683,0.5808060765266418,0.5808060765266418,0.5808060765266418
x,192.5,122.5,142.5,122.5,162.5,202.5,182.5,172.5,202.5,202.5,242.5,222.5,202.5,222.5,182.5,177.5
y,136.6666717529297,163.3333282470703,243.3333282470703,323.3333435058594,190.0,243.3333282470703,296.6666564941406,150.0,123.33333587646484,110.0,83.33333587646484,136.6666717529297,190.0,243.3333282470703,110.0,206.6666717529297
z,-4.174461841583252,-19.84177017211914,-231.50587463378906,-75.40170288085938,1.2592185735702515,25.44957733154297,129.72677612304688,47.0687370300293,-47.60445022583008,-180.415771484375,340.9346008300781,215.228271484375,186.11373901367188,131.80259704589844,-27.902185440063477,-46.73377227783203
